"inspection_id","region","year.y","risk_category","lat","long","popInfo"
810728,"nw",2015,"3",38.905582,-77.044641,"810728 <br> nw <br> 3 <br>"
205511,"se",2014,"3",38.875895,-76.99466,"205511 <br> se <br> 3 <br>"
814325,"nw",2015,"3",38.898245,-77.045474,"814325 <br> nw <br> 3 <br>"
21813,"se",2011,"3",38.833647,-77.008411,"21813 <br> se <br> 3 <br>"
98489,"nw",2012,"3",38.964953,-77.013648,"98489 <br> nw <br> 3 <br>"
813340,"nw",2015,"3",38.905582,-77.044641,"813340 <br> nw <br> 3 <br>"
205756,"se",2014,"3",38.833647,-77.008411,"205756 <br> se <br> 3 <br>"
405379,"nw",2014,"3",38.895353,-77.011062,"405379 <br> nw <br> 3 <br>"
833289,"nw",2016,"3",38.898588,-77.01983,"833289 <br> nw <br> 3 <br>"
118315,"nw",2011,"4",38.905654,-77.036534,"118315 <br> nw <br> 4 <br>"
814088,"nw",2015,"3",38.928733,-77.037351,"814088 <br> nw <br> 3 <br>"
822146,"nw",2016,"3",38.903663,-77.033106,"822146 <br> nw <br> 3 <br>"
607315,"ne",2015,"3",38.932764,-76.990936,"607315 <br> ne <br> 3 <br>"
203139,"nw",2013,"3",38.896134,-77.022955,"203139 <br> nw <br> 3 <br>"
835094,"nw",2017,"3",38.911125,-77.028082,"835094 <br> nw <br> 3 <br>"
22072,"nw",2012,"4",38.948447,-77.078824,"22072 <br> nw <br> 4 <br>"
180470,"nw",2013,"3",38.909645,-77.027036,"180470 <br> nw <br> 3 <br>"
843934,"ne",2017,"3",38.893257,-76.950542,"843934 <br> ne <br> 3 <br>"
811200,"nw",2015,"3",38.898916,-77.009065,"811200 <br> nw <br> 3 <br>"
10693,"nw",2011,"3",38.909717,-77.037118,"10693 <br> nw <br> 3 <br>"
611599,"nw",2015,"3",38.898986,-77.04007,"611599 <br> nw <br> 3 <br>"
60113,"ne",2011,"3",38.937352,-76.990657,"60113 <br> ne <br> 3 <br>"
177434,"nw",2013,"3",38.982883,-77.026484,"177434 <br> nw <br> 3 <br>"
837143,"ne",2017,"3",38.897554,-77.009065,"837143 <br> ne <br> 3 <br>"
831057,"se",2016,"3",38.874256,-76.972382,"831057 <br> se <br> 3 <br>"
831615,"nw",2016,"3",38.905326,-77.057159,"831615 <br> nw <br> 3 <br>"
814085,"se",2015,"3",38.873604,-76.990211,"814085 <br> se <br> 3 <br>"
179230,"nw",2013,"3",38.920596,-77.071632,"179230 <br> nw <br> 3 <br>"
824196,"nw",2016,"3",38.91505,-77.031876,"824196 <br> nw <br> 3 <br>"
820526,"ne",2015,"3",38.89732,-77.008425,"820526 <br> ne <br> 3 <br>"
180901,"nw",2013,"3",38.920906,-77.071807,"180901 <br> nw <br> 3 <br>"
830465,"sw",2016,"3",38.878403,-77.017566,"830465 <br> sw <br> 3 <br>"
118184,"nw",2011,"3",38.900126,-77.032357,"118184 <br> nw <br> 3 <br>"
843501,"nw",2017,"3",38.928805,-77.032612,"843501 <br> nw <br> 3 <br>"
118736,"nw",2012,"3",38.895447,-77.029632,"118736 <br> nw <br> 3 <br>"
831224,"se",2016,"3",38.887054,-77.001937,"831224 <br> se <br> 3 <br>"
118477,"nw",2011,"4",38.89832,-77.043469,"118477 <br> nw <br> 4 <br>"
831409,"nw",2016,"3",38.896802,-77.026959,"831409 <br> nw <br> 3 <br>"
143002,"nw",2012,"3",38.892759,-77.019899,"143002 <br> nw <br> 3 <br>"
813779,"nw",2015,"5",38.930977,-77.015459,"813779 <br> nw <br> 5 <br>"
202043,"nw",2014,"3",38.916925,-77.028816,"202043 <br> nw <br> 3 <br>"
812109,"nw",2015,"3",38.914837,-77.024042,"812109 <br> nw <br> 3 <br>"
835568,"nw",2017,"4",38.892089,-77.013178,"835568 <br> nw <br> 4 <br>"
122397,"se",2011,"3",38.866775,-76.985128,"122397 <br> se <br> 3 <br>"
119136,"nw",2013,"3",38.944783,-77.077928,"119136 <br> nw <br> 3 <br>"
825865,"nw",2016,"3",38.899763,-77.015239,"825865 <br> nw <br> 3 <br>"
843864,"nw",2017,"3",38.913693,-77.064179,"843864 <br> nw <br> 3 <br>"
200991,"nw",2014,"3",38.895103,-77.009059,"200991 <br> nw <br> 3 <br>"
10502,"nw",2010,"3",38.903667,-77.042121,"10502 <br> nw <br> 3 <br>"
118461,"nw",2011,"3",38.898633,-77.051356,"118461 <br> nw <br> 3 <br>"
830515,"nw",2016,"3",38.940339,-77.083832,"830515 <br> nw <br> 3 <br>"
897647,"nw",2017,"4",38.896056,-77.022349,"897647 <br> nw <br> 4 <br>"
136285,"nw",2011,"4",38.89644,-77.011443,"136285 <br> nw <br> 4 <br>"
606405,"nw",2014,"5",38.906162,-77.039203,"606405 <br> nw <br> 5 <br>"
813459,"nw",2015,"4",38.900276,-77.011701,"813459 <br> nw <br> 4 <br>"
820665,"nw",2015,"3",38.89734,-77.0199,"820665 <br> nw <br> 3 <br>"
198720,"ne",2013,"3",38.901182,-76.940947,"198720 <br> ne <br> 3 <br>"
204396,"nw",2014,"5",38.905217,-77.034496,"204396 <br> nw <br> 5 <br>"
201406,"nw",2014,"3",38.915568,-77.031956,"201406 <br> nw <br> 3 <br>"
838565,"ne",2017,"3",38.89732,-77.008425,"838565 <br> ne <br> 3 <br>"
177312,"nw",2013,"3",38.908155,-77.044947,"177312 <br> nw <br> 3 <br>"
812498,"nw",2015,"3",38.955439,-77.02784,"812498 <br> nw <br> 3 <br>"
607878,"nw",2015,"3",38.94713,-77.079149,"607878 <br> nw <br> 3 <br>"
821704,"nw",2016,"3",38.914837,-77.024042,"821704 <br> nw <br> 3 <br>"
104124,"nw",2011,"3",38.931339,-77.038299,"104124 <br> nw <br> 3 <br>"
822031,"ne",2016,"4",38.90564,-77.005884,"822031 <br> ne <br> 4 <br>"
836492,"ne",2017,"3",38.904758,-76.994897,"836492 <br> ne <br> 3 <br>"
814371,"nw",2015,"3",38.938829,-77.032654,"814371 <br> nw <br> 3 <br>"
834882,"nw",2017,"3",38.897522,-77.028164,"834882 <br> nw <br> 3 <br>"
199720,"nw",2013,"3",38.923597,-77.05166,"199720 <br> nw <br> 3 <br>"
823218,"nw",2016,"3",38.961091,-77.061253,"823218 <br> nw <br> 3 <br>"
156271,"se",2012,"5",38.883675,-76.994897,"156271 <br> se <br> 5 <br>"
897854,"ne",2017,"3",38.89732,-77.008425,"897854 <br> ne <br> 3 <br>"
183467,"nw",2013,"3",38.930451,-77.037909,"183467 <br> nw <br> 3 <br>"
838399,"nw",2017,"3",38.912605,-77.045157,"838399 <br> nw <br> 3 <br>"
198733,"nw",2013,"3",38.895475,-77.033868,"198733 <br> nw <br> 3 <br>"
814342,"nw",2015,"3",38.928805,-77.032612,"814342 <br> nw <br> 3 <br>"
831228,"se",2016,"3",38.886943,-77.001728,"831228 <br> se <br> 3 <br>"
7781,"nw",2010,"4",38.896418,-77.05019,"7781 <br> nw <br> 4 <br>"
156262,"nw",2012,"3",38.921866,-77.042357,"156262 <br> nw <br> 3 <br>"
205516,"nw",2014,"3",38.904148,-77.060144,"205516 <br> nw <br> 3 <br>"
203901,"nw",2014,"3",38.928733,-77.037351,"203901 <br> nw <br> 3 <br>"
201080,"nw",2014,"3",38.899111,-77.018928,"201080 <br> nw <br> 3 <br>"
810101,"ne",2015,"3",38.896414,-76.94783,"810101 <br> ne <br> 3 <br>"
831184,"nw",2016,"3",38.917071,-77.026023,"831184 <br> nw <br> 3 <br>"
205528,"nw",2014,"3",38.96161,-77.027908,"205528 <br> nw <br> 3 <br>"
155165,"nw",2012,"3",38.9207,-77.041972,"155165 <br> nw <br> 3 <br>"
820902,"se",2015,"3",38.867043,-76.987042,"820902 <br> se <br> 3 <br>"
836135,"nw",2017,"3",38.9159,-77.041732,"836135 <br> nw <br> 3 <br>"
811849,"ne",2015,"3",38.89732,-77.008425,"811849 <br> ne <br> 3 <br>"
405115,"nw",2014,"3",38.89824,-77.041106,"405115 <br> nw <br> 3 <br>"
810744,"nw",2015,"3",38.904414,-77.062865,"810744 <br> nw <br> 3 <br>"
136835,"ne",2013,"3",38.934594,-76.991088,"136835 <br> ne <br> 3 <br>"
405556,"se",2014,"3",38.888788,-76.937251,"405556 <br> se <br> 3 <br>"
822317,"nw",2016,"3",38.895447,-77.029632,"822317 <br> nw <br> 3 <br>"
812137,"nw",2015,"3",38.898232,-77.056348,"812137 <br> nw <br> 3 <br>"
